"","x"
"854","What is amazing is that even a slow catcher has a chance to get a double-walk, if fielding team don't go to effort of making sure play is live

On a 3-x count you might even have outfield play somewhat shallower on a slow power hitter, to make sure they can get to infield in time"
"855","This is an amazing rule.  Imagine, a walk that leads to the most exciting fielding play of the game.

Does the uncaught pitch (on any pitch) allow the batter to ""steal"" first base @TheSavBananas ? https://t.co/1PBXNdxTtU"
"856","@mike_petriello @MLBNetwork https://t.co/NXZR4fwgjh

Vince, Vince, Vince..."
"857","@mike_petriello @MLBNetwork I heard Kenny pronounce his name Robert once, like Robert, instead of Rene Robert.  

Gotta find this episode now..."
"858","@pflynn42 Also log scale, for those who want to be more deceptive.

(99.9% of charts using log scales deceptive) https://t.co/8k9kHZxJ8S"
"859","@dmalcolmjr Bob Caruthers?  From 1885-86?  Thatd be like a two-way college player today.

Ruth had one year (1918) where he was above average in both, as a more than part-time player, like Ohtani in 2021. And yeah, Ohtani has excellent chance of proving he can be above average in both again."
"860","Tha Maz annual and the Street &amp; Smith annual were my favorite, after  The Baseball Abstract from @billjamesonline .

Y'all have no idea what we had to go through: every Saturday, take the bus+metro to the bookstore downtown, hoping that one of these came in that Saturday morning. https://t.co/BrnSVPFoxv"
"861","@natabone @ladymonicosplay @megelison It should probably be Soh in French, but in English, it's Sue.

Like Pa-ree and Pa-ris, or Mon-ray-ahl and Mon-tray-all.

Vehr-sigh and Ver-sigh."
"862","I guess Ohtani is not unique either... https://t.co/0RHYKqXrza"
"863","@EricRoit @EvolvingWild Good stuff. I know in MLB, there's about 250 new players per season. So maybe 200 in NHL, or 20 goalies, × 15 seasons, plus 50 or so returnees. So, 350 would have been my guess."
"864","Ben has the best chuckle ever... https://t.co/IpYDYSusqs"
"865","@swampsteve @billjamesonline No, we don't need to know standard deviations. It's kind of straightforward really. If you look at when NHL expanded from six teams to twelve, the top players from six team league would still be top players in a twelve team league. You just want to make sure they are equivalent."
"866","@swampsteve @billjamesonline ... performance in a six-team league to the twelve-team league, you want to set the ""comparison baseline"" far far lower with the six-team league than twelve-team league.

So much to do, so little time..."
"867","@swampsteve It's a good question.  It does get to the point that @billjamesonline has brought up, for the need for a dynamic replacement level.  A six-team league is going to naturally have a higher replacement level than a sudden expansion into a twelve-team league.

Weirdly: to compare..."
"868","And here's how it looks for pitchers... https://t.co/wwAY7qjUCy"
"869","Here's all non-pitchers, min 60 WAR. There's a few lines you can draw to decide where ""current"" era starts.

As you can see, there's a very large gap between Musial and Jackie (and that WWII is there is no coincidence). Then starting in 1951, it exploded.

https://t.co/5abA0HiCzp https://t.co/IHrUMJPtFw"
"870","Obviously, any line drawn is arbitrary, and you'll always have players that will exist in both, like Williams or Musial."
"871","I don't know when the ""modern era"" should start, but I generally choose either 1947 (when Jackie debut), or ""modern players"" as born since 1931 (when Mays/Mantle were born).

When you look at quality of talent, you will see a  HUGE HUGE ramp up starting with players born in 1931. https://t.co/buHJng16HM"
"872","@asmae_toumi My kid just got his. Regular processing, 6 weeks"
"873","@TRdWarrior Yes, that's the state rebate I mentioned. It works out to 30$/panel per year.  How much do you get back?"
"874","@ChubbyRainmaker @FanOfLaundry Right, our neighbor just got it, and this is a whole new world for me.  It just seems the solar companies are doing a terrible job in getting the word out, since they just sound (to me) like it's a hustle..."
"875","@_RealEstateGuy_ @ChristianIC1101 @bulkypenguin47 @the_mike_morris @JeffPassan Excellent point!  You are right, the Jays had three home parks, and no one tried to compensate for that disadvantage.  Well done, sir."
"876","@Fred_Merkle Oh, that's very interesting information, thank you for that."
"877","@BeeSupreme_ @PitchingNinja Internally, I call that a screwball, if only because it's the ""least bad"" choice I have."
"878","@mtbultitude That's very interesting, I did not know that about the degradation, thank you.

And interesting about insurance."
"879","@ChubbyRainmaker From the sounds of it: no.  Though someone more knowledgeable can tell us."
"880","@BeeSupreme_ @PitchingNinja I wouldn't call the Airbender a ""changeup"".  It has more spin than a fastball, so it clearly is something else."
"881","1000$ cost of 1 solar panel
260$ Fed tax credit
340$ State rebate (30$ / year for 15 years at 4% discount)
=============
400$ Net cost

Each solar panel reduces electric bill by 50$

So, it pays off after 8 years

Tell us the other considerations, qualitatively and quantitatively"
"882","Add up your ""weighted"" WAR, and that's your total for the position. Add it up across positions for your overall total (two totals anyway, one for rWAR and one for fWAR)."
"883","I've been thinking how we can evaluate everyone's rankings on the panel. Here's what I propose. We use WAR (fWAR, rWAR, separately, so two totals).

Whoever you have ranked 1st gets 100% of their 2022 WAR. Your 2nd person gets 90% and so on down to the 10th person who gets 10%. https://t.co/gYlkBQA2St"
"884","@mikeystephens81 @DustR25 @HabsHappy @fnveenie @LeeHaire4 @goalcaufield8 @willbeirness1 5th in the entire NHL Eastern Conference (by pts%)."
"885","@spittinchiclets The NCAA rule book looks identical to the first two paragraphs of the NHL rule book.  But their third paragraph has the clearing waving-off provision.

Am I missing something here?  Did the NHL rule book accidentally remove the waving-off part? https://t.co/E8G0iEDgQH"
"886","@spittinchiclets This rule is not very well written.  The first paragraph does not even talk about ""waving off"" icing.  It's just a pure icing play.

The third paragraph says ""icing is COMPLETED"" and makes no distinction between attacking or defending player.  Again, no ""waving off"". https://t.co/soqSUH7opk"
"887","@MattGajtka Gretzky said Mario would have been great no matter what, but being on that 1987 team just accelerated his development.

He said the same thing about himself, being able to play with Lafleur and Robinson.

You gotta presume players are humans. Then it makes sense."
"888","@MattGajtka Sure, but that doesn't matter.  If Plante and Howe were born 40 years later, they'd have all the advantages of their new peers.

It's ridiculous to think you can just Back-to-the-Future players"
"889","@MattGajtka Or, you can be impressed that someone like Jacques Plante could survive for as long as he did with so few goalies around.  The best of the best of the best.

It's only when more goalies came into the league, via expansion, that he posts his (and the NHL's) best save% ever."
"890","@MattGajtka You mean when there were only six clubs?"
"891","@DQuinn1575 @aweisen123 I watch that video 3 or 4 times a year..."
"892","@aweisen123 I think for an international competition, he'd likely choose Lemieux.

But for the daily grind of a season, he'd probably appreciate Howe's toughness."
"893","@MattGajtka Top 5: include Hasek who peaked in the mid to late 90s."
"894","What's with DC movies cutting out the Joker entirely, or almost entirely, out of movies.  This is like the third one.

Would you cut Hannibal Lecter out of Silence of the Lambs?

https://t.co/QSnomWwl43"
"895","Every single NHL skater would choose as their linemate, over anyone else in history:
- Wayne Gretzky, if they fancy themselves goal scorers
- Mario Lemieux, if they are weak goal scorers
- Bobby Orr, if they are defenders
- Gordie Howe, if they are Gretzky, Mario, or Orr"
"896","@the_xo_files @JeffPassan It's called sabermetrics... can't recommend it enough"
"897","@cpeepee_31 @bulkypenguin47 @JeffPassan I was thinking more of a player who is below average and in the starting lineup... but unvaxxed.  Some top prospect, vaxxed, could step in, and basically, take over.

In other words, we don't know exactly which clubs are at a disadvantage or not."
"898","@JeffPassan An example of a competitive DISADVANTAGE for the Jays.  The other clubs know it.

So, again, I don't know whether it's an advantage or not.  It obviously hurts some clubs, helps others, and who knows how it affects the Jays.

https://t.co/yU2VOQQR4o"
"899","@JeffPassan So the new Moneyball is finding players willing to be vaxxed?  If so, you can play either for, or against, the Jays (in 🇨🇦).

I don't see this as an advantage (or disadvantage).  For all we know, some hotshot minor leaguer is ready to step in, vaxxed, to play the Jays. #Moneyball"
"900","@asmae_toumi https://t.co/uCoSPlG0Xx https://t.co/3cdXmB89Kk"
"901","@dougglanville I can't wait to show the Statcast numbers for Castellanos, showing how much he hustles.  Only the contemporaneous fan can truly appreciate him, but here's hoping his legacy will carry over to the next generation of fans."
"902","The French press usually gets into more details, and this is no exception. The very last paragraph is particularly heinous. Google translate does an accurate job. https://t.co/4fCpJGMdvq"
"903","@SharpeWordz @bawfuls That'd be quite the long con!  

Win a World Series, win 106 games, do that while shifting on RHH 40% of the time... all the teams match the shifting in 2022, and then in 2022 Dodgers shift ZERO PERCENT on RHH, win 110 games."
"904","@fantasyexchange @PFF_NateJahnke I'll second the recommendation.  There's a website here to help out too:

https://t.co/tRkxCmj5RU

cc: @albertbayes"
"905","@JomboyMedia https://t.co/8rSXe3Ateo"
"906","Whenever the eventual biography comes up, I'd rather watch a movie on the life of MacKenzie Scott, not Jeff Bezos."
"907","@DavidYoungTBLA Right, as a kid, I'd probably wait if offered.

If I have a job, I'd decline.

Taking the 15$, as an ""even steven"", while tempting as a kid who just lost 15$ the day before, I probably wouldn't do it."
"908","https://t.co/6fFtE1hBuz"
"909","@bawfuls @SharpeWordz I'm baffled too"
"910","Yesterday, my kid lost 15$.

Today, my kid found a wallet.  He said he will NOT take 15$ out before locating the person.

What would you do?"
"911","@bawfuls @SharpeWordz No, I checked.  There's zero chance that 40% of RHH need to be shifted.  If you said 5%, that would still seem high."
"912","Devils look like they lost their uniform in transit, and the local team at their practice arena lent them theirs. https://t.co/aCIqkC4X1c"
